identifier,pols_balance
XJ4bYGKnwlev0K7SPo0MkVz1ypR3Ea,3000
q2W6DpjGJOPvxdeSMyL4mQoyVZzgXK,52.82
3kQyVE67NM4n9bPSd6LeGOW1qX2gYd,11.17068811
jMGElwpKZqWk9QvS65xy54aoBgbNY2,269.1389816
wQRlYJBjvXAK9DySwqx7VZdmrbqn35,251.4929922
ed3a4PpOMYJm0N6S3K0D2X5jK8r7kZ,52.51888908
Mk3zZjrl5O7Dx3nSee9NnoE1Ye6VbW,3254.958011
6n31vZykGbrVLWDSpE0ojmzlWO42pJ,5
WJwBXD1av6Ed0gASBexANnY2bmOrz7,4511.36879
D5WzXM3nZAgyxpoSrV9er1OGQ2bVd7,25
2RyXqevdko4N9nySkw0pP5JA6wVnaj,332.2761743
MElVo5r3QYAdxrJSjvxZNyJDBvO2mj,260
JYqVAE17ReWB0GZSyrLMNrKOlj6ZyQ,3612.478844
KbnMvkYNQ1Elx4rSmD0q6y2mDrJGVW,0.000611695
rjMv8OQ3kny40qZSqz9Em2AepGVYbD,255.7986159
4lnQGwmg5q860PlSkr0BvjEebzoRZr,4336.227558
yaMAq4mz5XQNxaqSmVx1vPRnbD3EOW,11.17068811
BqpzWQ1EX37Z9k5SqnLPJyabVDAvM5,3.686800122
6QvbPdjMEgKyxwVS4V9OV381GRzBoq,0.000000004
pRZPJGME2rVw9eESBr9BzvXn5N3dab,3000.12
XylVvMQDzk53xEOSWB0roweA7J8E1G,0.9601045724
NZGyKMre28boL1gSPr9YWdXJR4j3kE,432.2259142
Yn2qB54ba7DR0A5SqK0k8ZvJ6lAeow,188.614354
eG6JEOgajVz79MVS64x2RXo8yYwM4A,277.0563413
pln8kwomKj3V98PSlR9PezE7Q6DMWd,80.13398156
VD2QPOjzmeyRLY3Sz794GXZE57wbnY,1134.757872
8jvnOaZbWJ2705GS5gxg4yAdXRQYwP,200.1169982
yGwbdPR2mnDO9m2SydxrA35oeBE8gN,149.3949055
6RgWZDmGBOj1L2pSJB95PElQw2paAN,3000
djB4nO3YklpELyRSvr0XNZz8w57M1q,11.17068811
eVA7ngYQ2WpKxORSbM9y54PaOj1ZGb,250
qRvg1Be2r6GaLoOSaMLYKdp4nwmlA7,11.17068811
vJGzRrdBgmAlLZWSbk0PkqpnZwj7oD,254.9511
2PJ548MpQrNX0JjSpE0eDl6GzbaRqn,121.318481
VqAbzgR82wre9zlSMBL1OaZEkpyW53,475.2184986
4PX5n3wv6qlrxjYSnl9Zp2M7VWygda,6032.563529
V4EYmXOMvlzW07qSJMxdyZp7JD6Ne8,17.74810519
27vwVn1Q64YO0BmSlmL3BRAjl8maMD,540.7263908
vG4oe5E2qnAO9VQSaK0XrYplam6V3k,22.072618
wq28ZBQl1AnWx64Sze0M4pozDegOJb,0.000040512
rakEJwN1dWeYLRXS4d928Dy3zBvP7K,153.6733265
wogb2YrQ6pJAxlmSkRLqN8B3eavOml,11.17068811
4m7DnNKabZAO9vBSJ198Myz6J53vWg,15.6926981
KabnJ8mVyM3G0XNS8Axw5ZR1eDNW7Y,3049.656296
XJ4bYGKnwlev0K7SQo0MkVz1ypR3Ea,2010.828499
q2W6DpjGJOPvxdeSNyL4mQoyVZzgXK,293.6687295
3kQyVE67NM4n9bPSG6LeGOW1qX2gYd,11.17068811
jMGElwpKZqWk9QvSG5xy54aoBgbNY2,325.8097922
wQRlYJBjvXAK9DySRqx7VZdmrbqn35,11.17068811
ed3a4PpOMYJm0N6SnK0D2X5jK8r7kZ,53.09995328
Mk3zZjrl5O7Dx3nSoe9NnoE1Ye6VbW,2245.989449
6n31vZykGbrVLWDSEE0ojmzlWO42pJ,0.000069514
WJwBXD1av6Ed0gASjexANnY2bmOrz7,250
D5WzXM3nZAgyxpoSlV9er1OGQ2bVd7,11.17068811
2RyXqevdko4N9nySQw0pP5JA6wVnaj,405.4752631
MElVo5r3QYAdxrJSavxZNyJDBvO2mj,1574.502724
JYqVAE17ReWB0GZS3rLMNrKOlj6ZyQ,247.5281319
KbnMvkYNQ1Elx4rSOD0q6y2mDrJGVW,3002.6456
rjMv8OQ3kny40qZSKz9Em2AepGVYbD,80.09447226
4lnQGwmg5q860PlSvr0BvjEebzoRZr,266.9407548
yaMAq4mz5XQNxaqSJVx1vPRnbD3EOW,3227.602027
BqpzWQ1EX37Z9k5SenLPJyabVDAvM5,0.000000001
6QvbPdjMEgKyxwVSgV9OV381GRzBoq,155
pRZPJGME2rVw9eESer9BzvXn5N3dab,279.9644775
XylVvMQDzk53xEOSjB0roweA7J8E1G,129.5139441
NZGyKMre28boL1gSgr9YWdXJR4j3kE,2.000011086
